# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,8.000000  ,0.155275  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.155460  
0.020000  ,0.001617  ,0.000000  ,0.171180  ,8.000000  ,0.155460  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.156068  
0.040000  ,0.006942  ,0.000001  ,0.361380  ,8.000000  ,0.156068  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.157041  
0.060000  ,0.016071  ,0.000072  ,0.551580  ,8.000000  ,0.157041  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.157828  
0.080000  ,0.028985  ,0.000766  ,0.741780  ,8.000000  ,0.157828  
0.100000  ,0.045661  ,0.002201  ,0.931980  ,8.000000  ,0.158309  
0.100000  ,0.045661  ,0.002201  ,0.931980  ,8.000000  ,0.158309  
0.120000  ,0.066072  ,0.004510  ,1.122180  ,8.000000  ,0.158349  
0.120000  ,0.066072  ,0.004510  ,1.122180  ,8.000000  ,0.158349  
0.140000  ,0.090211  ,0.007668  ,1.312380  ,8.000000  ,0.157972  
0.140000  ,0.090211  ,0.007668  ,1.312380  ,8.000000  ,0.157972  
0.160000  ,0.118067  ,0.011727  ,1.502580  ,8.000000  ,0.159324  
0.160000  ,0.118067  ,0.011727  ,1.502580  ,8.000000  ,0.159324  
0.180000  ,0.149619  ,0.016772  ,1.692780  ,8.000000  ,0.157096  
0.180000  ,0.149619  ,0.016772  ,1.692780  ,8.000000  ,0.157096  
0.200000  ,0.184869  ,0.022778  ,1.882980  ,8.000000  ,0.154237  
0.200000  ,0.184869  ,0.022778  ,1.882980  ,8.000000  ,0.154237  
0.220000  ,0.223786  ,0.029887  ,2.073180  ,8.000000  ,0.150607  
0.220000  ,0.223786  ,0.029887  ,2.073180  ,8.000000  ,0.150607  
0.240000  ,0.266354  ,0.038167  ,2.263380  ,8.000000  ,0.146132  
0.240000  ,0.266354  ,0.038167  ,2.263380  ,8.000000  ,0.146132  
0.260000  ,0.312552  ,0.047688  ,2.453580  ,8.000000  ,0.141983  
0.260000  ,0.312552  ,0.047688  ,2.453580  ,8.000000  ,0.141983  
0.280000  ,0.362344  ,0.058598  ,2.643780  ,8.000000  ,0.134792  
0.280000  ,0.362344  ,0.058598  ,2.643780  ,8.000000  ,0.134792  
0.300000  ,0.415745  ,0.070802  ,2.833980  ,8.000000  ,0.126577  
0.300000  ,0.415745  ,0.070802  ,2.833980  ,8.000000  ,0.126577  
0.320000  ,0.472744  ,0.084326  ,3.024180  ,8.000000  ,0.117312  
0.320000  ,0.472744  ,0.084326  ,3.024180  ,8.000000  ,0.117312  
0.340000  ,0.533311  ,0.099280  ,3.214380  ,8.000000  ,0.105819  
0.340000  ,0.533311  ,0.099280  ,3.214380  ,8.000000  ,0.105819  
0.360000  ,0.597476  ,0.115524  ,3.404580  ,8.000000  ,0.095520  
0.360000  ,0.597476  ,0.115524  ,3.404580  ,8.000000  ,0.095520  
0.380000  ,0.665250  ,0.133010  ,3.594780  ,8.000000  ,0.084314  
0.380000  ,0.665250  ,0.133010  ,3.594780  ,8.000000  ,0.084314  
